Question,op1,op2,op3,op4,ans
 HTML নামক মার্ক আপ ল্যাংঙ্গুয়েজের উপর ভিত্তি করে তৈরিকৃত ডকুমেন্টকে কী বলে?, ওয়েব, ওয়েব পেইজ, পেইজ, ওয়েব সাইট,op2
 ওয়েব পেইজে সাধারণত বিভিন্ন ধরনের-, ডেটা থাকে, ওয়েব সাইট থাকে, বিভিন্ন উপকরন থাকে, তথ্য থাকে,op4
 ওয়েব পেইজে নিয়ন্ত্রন করা হয়।, টেলিভিশন দ্বারা, মোবাইল দ্বারা, কম্পিউটার দ্বারা, ইন্টারনেট দ্বারা,op3
 ওয়েব সাইট সাধারণত হতে পারে-, স্ট্যাটিক, ডাইনামিক, স্ট্যাটিক ও ডাইনামিক, ল্যাংঙ্গুয়েজ ভিত্তিক,op3
 HTML এর সংস্করণ HTML এর প্রকাশকাল কখন?, জানুয়ারি ২০০৭, জানুয়ারি ২০০৮, ফেব্রুয়ারি ২০০৭, ফেব্রুয়ারি ২০০৮,op4
 HTTP এর পূর্ণ নাম কী?, Hyper Text Top Protocol, Hyper Technical Transfer Protocol, Hyper Text Top Protocol, Hyper Text Transfer Protocol,op4
 গ্লোবাল হাইপারটেক্স প্রজেক্ট এর প্রস্তাবনা দেন কে?, এরিক বিনা, টিম বার্নাস লি, মার্ক অ্যান্ডারসেন, বিল গেটস,op2
 W3C ওয়াল্ড ওয়াইড কনসোর্টিয়াম কত সালে প্রতিষ্ঠিত হয়।, ১৯৮৯ সালে, ১৯৯০ সালে, ১৯৯৩ সালে, ১৯৯৪ সালে,op3
 ইন্টারনেটে ওয়েব পেইজসমূহ ব্রাউজ করার জন্য যে প্রোটোকল ব্যবহার করা হয় তা কোনটি?, http, ftp, UDP, UCP,op1
 Hyper Text Markup Language এর সাহায্যে কী তৈরি করা যায়?, URL, http, TCP/IP, Wab page,op4
 HTML মাধ্যমে কোডিং করতে আমরা কী ব্যবহার করব?, নোটপ্যাড, এম এস ওয়ার্ড, টেক্সট এডিট, মাউস প্যান,op1
 HTML এ ট্যাগ এর বৈশিষ্ট্যকে প্রকাশ করে কোনটি?, Attribute, Program, Value, class,op1
 ওয়েব পেইজ তৈরির জন্য ব্যবহৃত ভাষা কোনটি?, URL, WWW, HTML, HTTP,op3
 HTML কোন ধরনের ল্যাঙ্গুয়েজ?, সাধারণ, ওয়ার্ড, প্রোগ্রামিং, ওয়েব ডেভেলপমেন্ট,op4
 কোনটি ওয়েব ডেভেলপমেন্ট অ্যাপ্লিকেশন টুল?, ড্রিমওয়েবার, কোরলড্র, HTML, JSP,op3
 ডাইনামিক ওয়েব পেইজ তৈরিতে ব্যাহৃত সফটওয়্যার কোনটি?, Layout, Syntax, Formatting, Pert,op4
 ওয়ার্ল্ড ওয়াইড ওয়েব কনসোর্টিয়াম কতটি রং বা কালারের নামকে HTML ও CSS এর জন্য তালিকাভূক্ত করেছে।,, ১০টি, ২০টি, ৫০টি,১৬টি
 HTML কী ধরনের ল্যাংঙ্গুয়েজ?, একমূখী, দ্বিমূখী, বহুমূখী, উভমূখী,op3
 HTML এর সর্বশেষ ভার্সন নিচের কোনটি?, HTML.3, HTML.4, HTML.5, HTML.6,op3
 HTML এর সর্বশেষ ভার্সন HTML.৫ পরিচিতি লাভ করে কত সালে?, ২০০৮ সালে, ২০০৯ সালে, ২০১০ সালে, ২০১১ সালে,op3
 WWW এর পূর্ণ নাম কী?, World Web Wide, Web World Web, World Wide Web, World Web World,op3
 WWW কে ইন্টারনেটের কী বলা হয়?, রিজার্ভেশন সিস্টেম, বুলেটিন বোর্ড, বুদ্ধিমত্তা, সৃজনশীল,op2
