Question,op1,op2,op3,op4,ans
 কম্পিউটার মানুষের ভাষা কীভাবে বুঝতে পারে?, সরাসরি বুঝতে পারে, আংশিক বুঝতে পারে, কখনো বুঝতে পারে না, যান্ত্রিক ভাষায় রুপান্তরিত হলে বুঝতে পারে,op4
 কম্পিউটার ও মানুষের ভাষা কোন ধরনের?, এক, এক নয়, একই রকম, প্রায় একই রকম,op2
 প্রোগ্রামের ভিত্তি কোনটি ?, কোডিং, ডিবাগিং, প্রবাহ চিত্র, সুডোকোড,op1
 গঠন বিচারে ও বৈশিষ্ট্য অনুযায়ী প্রোগ্রামের ভাষাকে কয় ভাগে ভাগ করা যায়?, ২ ভাগে, ৩ ভাগে, ৪ ভাগে, ৫ ভাগে,op4
 কম্পিউটার প্রোগ্রামিং ভাষাকে কয়টি ভাগে ভাগ করা হয়?, ২ ভাগে, ৩ ভাগে, ৪ ভাগে, ৫ ভাগে,op4
  দ্বিতীয় প্রজন্মের ভাষা কোনটি?,  যান্ত্রিক ভাষা,  অ্যাসেম্বলি ভাষা,  উচ্চস্তরের ভাষা,  নিম্নস্তরের ভাষা,op2
  কিউবেসিক উদ্ভাবন করেছেন কে?,  মাইক্রোসপট,  অ্যাপেল,  আই বি এম,  ইনটেল,ক)  মাইক্রোসপট
 ইউরোপের বাইরে কোনটি বিস্তার নেই?,  ফরট্রেন,  কিউবেসিক,  এলগল,  কেবল,op3
 Fortran রূপ কেনটি ?, for termination, formulare translation, formulae transition, formula trends,op2
  কেন কোম্পানি Fortran ভাষা চালু করে?,  মাইক্রোসফট,  অ্যাপল,  আবএম,  ইনটেল,op3
 যান্ত্রিক ভাষার প্রধান উপকরণ নিছের কোনটি?, নিজস্ব ভাষা, অ্যাসেম্বলি ভাষা, মানুষের ভাষা, যন্ত্রে নিজস্ব ভাষা,
 কখন মেশিন ভাষা চালু হয়?,  ১৯৪০সালে,  ১৯৫০সলে,  ১৯৪৫সলে,  ১৯৬০ সালে,যন্ত্রে নিজস্ব ভাষা
  মেষিন ভাষার প্রধান উপকরন নিচের কোনটি ?,  ০ এবং ১, ০ এবং ২,  ১ এবং ২,  ২ এবং ৩,op1
 কখন মধ্যম স্তরের ভাষার পকরণ নিচের কেনটি?,  ১৯৬০ সালে,  ১৯৫০ সালে,  ১৯৬৫ সালে,  ১৯৬০ সালে,op1
  অ্যাসেম্বলি ভাষায় লিখিত প্রোগ্রাম কম্পিউটার-,  যান্ত্রিক ভাষা বুঝতে পারে,  সরাসরি বুঝতে পারে,  সরাসরি বুঝতে পারে না,  উচ্চস্তরের ভাষা বুঝতে পারে,op3
 অ্যাসেম্বলি ভাষাকে কী বলা হয়?,   তৃতীয় প্রজন্মর ভাষা,  প্রথম প্রজন্মের ভাষা,  দ্বিতীয় প্রজন্মের ভাষা,  চতুর্থ প্রজন্মের ভাষা,গ)  দ্বিতীয় প্রজন্মের ভাষা
" লেবেল, অপকোড, অপারেন্ড ও মন্তব্য এই চারটি অংশ নিয়ে কী গঠিত হয়?",  যান্ত্রিক ভাষা,  নিম্নস্তরের ভাষা,  অ্যাসেম্বলি ভাষা,  উচ্চস্তরের ভাষা,op1
 কখন মাধ্যম স্তরের ভাষার প্রচলন শুরু হয়?,  ১৯৬০ সালে,  ১৯৪০ সালে,  ১৯৬৫ সালে,  ১৯৮০ সালে,op1
 কোন ধরনের কম্পিউটার মধ্যম স্তরের ভাষা ব্যবহার করা যায়?,   যেকোন কম্পিউটারে,   যেকোন ধরনের কম্পিউটারে,   নির্দিষ্ট সংখ্যক কম্পিউটারে,   উন্নত মানের কম্পিউটারে,খ)   যেকোন ধরনের কম্পিউটারে
 কম্পিউটারের প্রাগাম তৈরির জন্য কী প্রয়োজন হয়?, অল্প মেমরি, সীমিত মেমরী, অধিক মেমরি, অতি অল্প মেমরি,op3
 কোনটি মধ্যস্তরের ভাষা?, উচ্চস্তর, ওরাকল, তৃতীয় প্রজন্মের, প্রথম প্রজন্ম,খ) ওরাকল
 কোন ভাষায় ব্যবহৃত শব্দ ইংরেজি ভাষার সাথে মিল রয়েছে?, উচ্চস্তরের ভাষা, যান্ত্রিক ভাষা, অ্যাসেম্বলি ভাষা, নিম্নস্তরের ভাষা,op1
 উচ্চস্তরের ভাষা কত প্রকার?, ২ প্রকার, ৩ প্রকার, ৪ প্রকার, ৫ প্রকার,op1
" C++, Visual Basic হলো-", উচ্চস্তরের ভাষা, যান্ত্রিক ভাষা, অ্যাসেম্বলি ভাষা, নিম্নস্তরের ভাষা,op1
 C প্রোগ্রাম তৈরির সাথে কে জড়িত?, মরিস হিল, ডেনিস রিচ, টিম বার্নসলি, ডগলাস রিচ,op2
 C++ প্রোগ্রাম ডেভেলপ করেণ কে ?, team Berneers Lee, Bjarne stroustrup, Bill Gates, Charges Babbes,খ) Bjarne stroustrup
 Oracal সফ্টওয়ারের সাথে কে জড়িত ?, DLS, SDL, LDS, LSD,খ) SDL
 Oracle RDBMS সাধারণত কী নামে পরিচিত?, Oracle JAVA, Oracle, Oracle BASIC, Oracle GATES,খ) Oracle
 Oracle উন্নয়ন করা হয় কত সালে?,  ১৯৭৭,  ১৯৮০,  ১৯৯০,  ১৯৯৫,ক)  ১৯৭৭
 ALGOL প্রোগ্রাম উদ্ভাবন তৈরি হয় কত সালে?, ১৯৫০ সালে, ১৯৬৫ সালে, ১৯৯৫ সালে, ১৯৯৯ সালে,op3
 FORTRN তৈরি করা হয়-, ১৯৫০ সালে, ১৯৬৫ সালে, পঞ্চশ দশকের মাঝামাঝিতে, ষাট দশকের মাঝামাঝি,op3
 Python প্রোগ্রাম তৈরি করেণ কে?, Guido Van Rossum, Dennis Ritchie, Bjarne Strounstrup, Martin Cooper,ক) Guido Van Rossum
 জাভা ভাষা বাজারজাত করা হয় কত সালে?, ১৯৯৬ সালে, ২০০০ সালে, ১৯৯৫ সালে, ১৯৯৯ সালে,ক) ১৯৯৬ সালে
 উচ্চস্তরের ভাষাকে মেশিন ভাষায় রূপান্তরের জন্য কী ব্যবহৃত হয়?, কম্পাইলার, এডিটর, অ্যাসেম্বেলার, ডিবাগার,ক) কম্পাইলার
  কৃত্তিম বুদ্ধিমত্তার সাথে সম্পর্কিত কোন প্রজন্মেও কম্পিউটার ভাষা?,  দ্বিতীয়,  তৃতীয়,  চতুর্থ,  পঞ্চম,ঘ)  পঞ্চম
 কোন ভাষায় ভিন্ন প্রার ডাটা টাইপের মিশ্রণ খুব সহজেই করা যায়?, মেশিন ভাষায়, অ্যাসেম্বলি ভাষায়, মধ্যস্তরের ভাষায়, উচ্চস্তরের ভাষায়,op3
  যে প্রোগ্রাম উৎস প্রোগ্রামকে যান্ত্রিক ভাষায় অনুবাদ করে বস্ত প্রোগ্রামে রূপান্তর করে সে প্রোগ্রামে রূপান্তর করে সে প্রোগ্রামকে কী বলে?, যান্ত্রিক প্রোগ্রাম, অনুবাদক প্রোগ্রাম, অবজেক্ট প্রোগ্রাম, উৎস প্রোগ্রাম,op2
 অনুবাদক প্রোগ্রাম কত প্রকার?, ২ প্রকার, ৪ প্রকার, ৩ প্রকার, ৫ প্রকার,op3
 ইন্টারপ্রেন্টার কোন প্রোগ্রামের অংশ?, অনুবাদক, অ্যাসেম্বলার, কম্পাইলার, উৎস,ক) অনুবাদক
  নিচের কোন অ্যাসেম্বলি ভাষা অনুবাদ করে?, অ্যাসেম্বলার, ইন্টারপ্রেন্টার, কম্পাইলার, উচ্চস্তরের,op1
 প্রোগ্রামিং ভাষারয় লিখিত নির্দেশক কম্পিউটারের যান্ত্রিক ভাষায় পরিনত করার জন্য নিচের কেনটির দরকার হয়?, অনুবাদরেক, অনুবাদের, ফাংশনের, অ্যরের,op1
 নিচের কেনটি অনুবাদক প্রোগ্রাম?, C, Cobol, Pascal, Compiler,ঘ) Compiler
প্রোগ্রামের ভুলকে কী বলে?, Bug, Dagg, Debugging, Bugging,op1
 প্রোগ্রামের ভুল ত্রুটি খুজে বের করে ত দূর করাকে কী বলে?, Bug, Dagg, Debugging, Buggin,op3
 ৫০ এর স্থানে ০৫ লেখা হলে এ ধরনের ভুলকে প্রোগ্রামের ক্ষেত্রে কী বলা হয়?, যুক্তিগত ভুল, সিনট্যক্র ভুল, ডেটা ভুল, আউটপুট  ভুল,op3
 printf এর স্থানে pintf লেখা হলে প্রোগ্রামের জন্য এধরনের ভুলকে কী বলে?,  যুক্তিগত ভুল,  সিনট্যক্র ভুল,  ডেটা ভুল,  আউটপুট  ভুল,op2
 অ্যালগোরিদম এ গ্রাফিক্যাল উপস্থাপন কেনটি?,  সের্স কোড,  সুডোকোড,  ফ্লোচার্ট,  প্রোগ্রামিং,গ)  ফ্লোচার্ট
 কম্পাইলার কোন ধরনের প্রোগ্রাম?,প্যাকেচ, অনুবাদক, ডাটাবেজ, স্প্রেডশিট,op2
 Pseudo শব্দটি কেন ভাষা থেকে এসেছে?, জার্মান, ইতালিয়ান, গ্রীক, মান্দরিন,op3
 Pseudo শব্দের অর্থ কী?, দ্বন্দ, মিলন, সত্য, সত্য নয়,ঘ) সত্য নয়
 কোন সংস্থা সকল কাচের ধারাবাহিতা একটি চিত্রের মাধ্যমে প্রকাশ করলে তাকে কী বলে?, গ্রাফ ফ্লোচার্ট, প্রোগ্রাম ফ্লোচার্ট, সিস্টেম ফ্লোচার্ট, অবজেক্ট ফ্লোচার্ট,op3
 যে চিত্রের মাধ্যমে কোনো সিস্টেম কীভাবে কাজ করবে তার গতিধারা নির্দেশ করা হয় তাকে কী বলে?, প্রবাহ চিত্র, অ্যালগোরিদম, কম্পাইলার, ইন্টারপ্রেটার,op1
 ফ্লোচার্ট কত প্রকার?, ২ প্রকার, ৪ প্রকার, ৩ প্রকার, ৫ প্রকার,op1
 কোন ফ্লোচার্টে সমস্ত কাজ কম্পিউটারে নিয়ন্ত্রন নাও করতে পারে?, ম্যানুযাল, মেশিন, কম্পিউটার, প্রিন্টার,op3
 প্রোগ্রাম অলগোরিদমের পরবর্তী ধাপ কোনটি?, সুডোকোড লেখা, ফ্লোচার্ট অংকন, সমস্যা চিহ্নত করণ, ত্রুটি সংশোধন,op2
 প্রবাহ চিত্র কী?, ধারাবাহিক প্রোগ্রামের নির্বাহি চিত্র, প্রোগ্রামের উন্নয়ন চিত্র, প্রোগ্রামের চিত্র, প্রোগ্রামের অংশের চিত্র,op4
 কিসের সাহায়্যে জচিল প্রক্রিয়া সহজভাবে উপস্থাজন করা যায়?, ফ্লোচার্ট, অ্যালগোরিদম, কম্পাইলার, ইন্টারপ্রেটার,op1
 স্ট্রাকচার্ড প্রোগ্রামিং এ গঠন কয় ধরনের?, ২ ধরনের, ৪ ধরনের, ৩ ধরনের, ৫ ধরনের,op2
 ভিজুয়াল প্রোগ্রামিং এর ভিত্তি কোনটি?, GUI ভিত্তিক, বর্ণভিত্তিক, কী-কোড, টেক্রটভিত্তিক,op1
